Energy_(eV)	counts
9548.861779562485	0.0014405532428379106
9549.109381164857	0.0015644239499010598
9549.356987468835	0.0017999412464844728
9549.60459844505	0.0017876377555090949
9549.852214064449	0.0016882302956632272
9550.099834298255	0.0018499449903716866
9550.347459117997	0.0018497674818563903
9550.595088495491	0.0019736656634696146
9550.842722402826	0.001688371046444397
9551.09036081238	0.0020479181990666084
9551.33800369681	0.002010444588978909
9551.585651029036	0.002109619459180486
9551.833302782248	0.0022087668407756856
9552.080958929908	0.0023329159088214943
9552.328619445729	0.0022216395924405915
9552.576284303688	0.0023083364365615714
9552.823953478017	0.0027298787103663463
9553.07162694319	0.0024567100838333833
9553.319304673938	0.0021718714899214325
9553.566986645226	0.002593465733894161
9553.81467283227	0.0025436334362396013
9554.062363210513	0.002419695572679234
9554.31005775564	0.002605692756573652
9554.557756443563	0.0026430041900584564
9554.80545925042	0.0028036201848940095
9555.05316615258	0.002853513673149223
9555.300877126632	0.003039406814799537
9555.548592149378	0.003274740655043478
9555.796311197842	0.0034857763478820278
9556.04403424926	0.0030272717062847895
9556.291761281082	0.0035723387058148393
9556.539492270957	0.003411025054998849
9556.787227196748	0.003436338915370785
9557.034966036521	0.003646597471366089
9557.28270876853	0.003572555966056782
9557.530455371241	0.0038452134230860784
9557.778205823308	0.003584617695148208
9558.025960103581	0.004663332587157344
9558.27371819109	0.004526760689622419
9558.52148006507	0.004216923553353615
9558.769245704925	0.005320472002366182
9559.01701509025	0.005072323682367089
9559.264788200824	0.005320089304459068
9559.512565016596	0.00572883847061526
9559.760345517698	0.0062374782664675965
9560.008129684427	0.006609393217148998
9560.25591749727	0.006274725335639356
9560.503708936869	0.00634909730463013
9560.751503984038	0.0078006674994271896
9560.999302619754	0.008245506273511933
9561.247104825165	0.00859229688796563
9561.494910581576	0.009248799713295999
9561.742719870452	0.009882127485305578
9561.990532673419	0.010886228499852825
9562.238348972254	0.01109650235763988
9562.486168748896	0.01140737416832585
9562.733991985428	0.012151158185899862
9562.98181866409	0.013241506285545815
9563.22964876727	0.013662929096338167
9563.477482277505	0.01485297863788328
9563.72531917747	0.014727176880444129
9563.97315944999	0.016118542022226474
9564.221003078033	0.016353551213078243
9564.468850044703	0.017455994982265036
9564.716700333247	0.018670813396217633
9564.964553927048	0.01977478827329969
9565.212410809623	0.02097746194615396
9565.460270964633	0.021756357709803668
9565.708134375853	0.023344020743251963
9565.956001027203	0.02608237260782479
9566.203870902731	0.0268419831539994
9566.451743986616	0.02961255440421776
9566.699620263153	0.033121587915566644
9566.94749971677	0.035642219661146
9567.195382332022	0.040275100996217575
9567.443268093582	0.04528683548814841
9567.691156986248	0.04956755272010798
9567.939048994926	0.05509211315060223
9568.186944104658	0.05890028940653652
9568.434842300594	0.06400755063346188
9568.682743567999	0.07271336652119068
9568.930647892255	0.07503779985356784
9569.17855525886	0.08061301924995931
9569.426465653423	0.08352164357561186
9569.67437906166	0.08810565430812534
9569.922295469401	0.08889533379126344
9570.170214862586	0.0932932193441922
9570.418137227258	0.096598611082755
9570.666062549568	0.10106216020292907
9570.913990815776	0.10412830548314729
9571.161922012243	0.10639333938947093
9571.40985612543	0.11084467523904988
9571.657793141912	0.11255869067556372
9571.905733048347	0.11571509192859189
9572.153675831505	0.11408040173153144
9572.401621478255	0.11098531346939398
9572.649569975558	0.10863289268248914
9572.897521310479	0.09945857680501803
9573.145475470166	0.09349906752480623
9573.393432441879	0.08459900211521369
9573.641392212961	0.07621890274405324
9573.889354770849	0.07121959934521159
9574.137320103075	0.06454779283864394
9574.385288197254	0.05829051016883623
9574.633259041106	0.05214368719842738
9574.881232622423	0.04936284460606231
9575.1292089291	0.04620201832847516
9575.37718794911	0.0436292972225137
9575.625169670517	0.040719526053146736
9575.873154081464	0.03806095582614267
9576.121141170192	0.0348350820991875
9576.36913092501	0.033483917070074795
9576.617123334323	0.03165900699198914
9576.86511838661	0.029022498774979855
9577.113116070435	0.027559657081882794
9577.361116374443	0.025578400453339804
9577.609119287355	0.02382856870860702
9577.85712479798	0.022491479882115514
9578.105132895194	0.02096240189269085
9578.353143567958	0.018806402798339845
9578.60115680531	0.018631356641087296
9578.849172596356	0.016562077204738904
9579.097190930288	0.015571815875435914
9579.345211796368	0.01458010384531042
9579.593235183927	0.013427390580259477
9579.84126108238	0.01375142911562745
9580.089289481204	0.011617112069323076
9580.33732036995	0.010948229637133034
9580.585353738245	0.011456055668428802
9580.833389575782	0.010130101416786606
9581.081427872328	0.009348766889601717
9581.329468617712	0.009536285847002248
9581.577511801841	0.007911205693237604
9581.82555741468	0.008332337859846595
9582.07360544627	0.00788648577692512
9582.32165588671	0.007266351642397516
9582.569708726167	0.006559860878990546
9582.817763954885	0.005952982520844002
9583.065821563156	0.006187890832621835
9583.313881541344	0.005469509591575897
9583.561943879875	0.0059150129526824415
9583.810008569242	0.004923833475713431
9584.058075599996	0.004526564774880472
9584.306144962751	0.004588125392647516
9584.55421664818	0.00420470542329376
9584.80229064702	0.004191695341047389
9585.050366950069	0.0036966103041591683
9585.29844554818	0.003721168347083291
9585.546526432268	0.0038078836175113565
9585.794609593306	0.0033991468063434135
9586.042695022326	0.0026552893129600037
9586.29078271042	0.00318829464614998
9586.538872648725	0.002915441289941071
9586.786964828449	0.0030400710579439306
9587.035059240849	0.0028290810696763114
9587.283155877238	0.0026180698568933057
9587.531254728985	0.002704598307509417
9587.77935578751	0.002531314709235888
9588.027459044293	0.0025433428307110725
9588.275564490863	0.002382582951542822
9588.523672118807	0.0019236956461752062
9588.771781919751	0.001961258043904273
9589.019893885394	0.0018123733215068274
9589.26800800747	0.001973659532913501
